WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Alfred,ZA,-33.5906,26.891,60.19,91,95,4.0,overcast clouds
1,Yulara,AU,-25.2406,130.9889,50.02,49,0,9.37,clear sky
2,Anchorage,US,61.2181,-149.9003,55.38,90,100,15.01,light rain
3,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,6.91,scattered clouds
4,Bluff,NZ,-46.6,168.3333,42.8,73,89,14.45,overcast clouds
5,Airai,TL,-8.9266,125.4092,53.13,81,100,3.27,overcast clouds
6,Piney Green,US,34.716,-77.3202,93.18,63,40,11.5,scattered clouds
7,Bredasdorp,ZA,-34.5322,20.0403,47.88,87,14,4.36,few clouds
8,Isla Mujeres,MX,21.2311,-86.731,89.17,68,99,10.87,overcast clouds
9,Saint George,US,37.1041,-113.5841,103.62,21,0,4.0,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,41.11,75,75,9.22,broken clouds
11,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,41,21.43,light rain
12,Byron Bay,AU,-28.65,153.6167,52.95,83,74,10.67,broken clouds
13,El Sauce,NI,12.8869,-86.539,87.62,59,100,8.84,overcast clouds
14,Albany,US,42.6001,-73.9662,91.29,47,100,1.99,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,78.76,90,72,5.99,broken clouds
16,Gore,NZ,-46.1028,168.9436,40.03,93,88,4.63,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,42.42,70,20,1.14,few clouds
18,Mataura,NZ,-46.1927,168.8643,42.48,91,88,3.22,overcast clouds
19,Oranjemund,NA,-28.55,16.4333,55.04,82,0,15.79,clear sky
20,San Quintin,MX,30.4833,-115.95,75.69,63,100,9.78,overcast clouds
21,Codrington,AU,-38.2667,141.9667,36.0,95,7,7.67,clear sky
22,Brigantine,US,39.4101,-74.3646,96.04,44,0,11.5,clear sky
23,Ilulissat,GL,69.2167,-51.1,42.76,85,100,0.69,overcast clouds
24,Grand-Santi,GF,4.25,-54.3833,86.65,59,98,3.4,overcast clouds
25,Fortuna,US,40.5982,-124.1573,61.99,74,29,6.53,scattered clouds
26,Jamestown,US,42.097,-79.2353,87.06,50,0,14.97,clear sky
27,Vaini,TO,-21.2,-175.2,73.56,94,75,10.36,broken clouds
28,Gaurela,IN,22.75,81.9,72.03,96,100,5.3,overcast clouds
29,Praya,CV,14.9215,-23.5087,79.34,83,20,9.22,few clouds
