City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
11,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,San Quintin,MX,75.69,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
27,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Gaurela,IN,72.03,overcast clouds,22.75,81.9,PWI OFFICE PENDRAROAD
29,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
35,Jiangyou,CN,69.73,scattered clouds,31.7667,104.7167,Shangping Shuyuan Inn
36,Marsa Matruh,EG,79.0,scattered clouds,31.3525,27.2453,Beau Site
41,Bandarbeyla,SO,75.18,scattered clouds,9.4942,50.8122,JABIR HOTEL
42,Rikitea,PF,74.07,clear sky,-23.1203,-134.9692,People ThankYou
46,Quesnel,CA,66.7,scattered clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
48,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
50,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Atuona,PF,77.99,few clouds,-9.8,-139.0333,Villa Enata
65,Sanmenxia,CN,66.07,overcast clouds,34.7747,111.1814,Pengzhou Hotel
67,Sirur,IN,72.52,overcast clouds,18.8333,74.3833,Shivtara Retreat
69,Huangpu,CN,77.25,broken clouds,25.4433,113.1747,New Era Hotel Furnishing City
77,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
79,Kalmunai,LK,78.71,broken clouds,7.4167,81.8167,VS Villa
81,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Kost Pria
85,Milos,GR,74.48,clear sky,36.75,24.4333,Ξενοδοχείο Αγνάντι
86,Aguimes,ES,74.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
87,Goderich,CA,79.12,overcast clouds,43.7501,-81.7165,Harmony Inn
97,Petukhovo,RU,66.38,overcast clouds,55.0692,67.9019,Гостиница
100,Lagoa,PT,70.3,clear sky,39.05,-27.9833,Casa Das Faias
110,Maloy,NO,65.93,light rain,61.9353,5.1136,Torget Hotell
119,Caravelas,BR,75.67,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
129,Camara De Lobos,PT,74.71,few clouds,32.6333,-16.9667,Golden Residence Hotel
130,Huilong,CN,79.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
131,Pemba,MZ,74.1,scattered clouds,-12.974,40.5178,Guesthouse Samotina
135,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
138,Ternate,ID,79.95,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
139,Simpang,ID,75.81,broken clouds,-1.2667,104.0833,
141,Huarmey,PE,68.02,overcast clouds,-10.0681,-78.1522,Hotel Miramar
145,Tiarei,PF,77.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
146,Hay River,CA,67.98,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
150,Castro,BR,71.19,clear sky,-24.7911,-50.0119,CHACARA BAILLY
151,Troitsko-Pechorsk,RU,68.43,overcast clouds,62.7084,56.1964,Pechora Gostinitsa
153,High Level,CA,68.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
154,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
159,Yellowknife,CA,75.72,broken clouds,62.456,-114.3525,The Explorer Hotel
160,Karratha,AU,66.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
161,Polovinnoye,RU,65.89,moderate rain,54.7914,65.9864,
163,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
172,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
175,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
176,Kasaragod,IN,77.36,scattered clouds,12.5,75.0,Thalathoor Heritage
177,Katsuura,JP,78.55,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
178,Lasa,IT,71.11,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
179,Ambon,ID,76.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
180,Boyuibe,BO,72.46,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
182,Preeceville,CA,74.46,overcast clouds,51.95,-102.6677,Golden West Hotel
184,Wamba,NG,71.58,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
187,Xai-Xai,MZ,68.29,light rain,-25.0519,33.6442,Complexo da Familia
189,Calama,CL,79.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
191,Asfi,MA,76.55,clear sky,32.2994,-9.2372,Hôtel Abda
203,Marsabit,KE,65.97,broken clouds,2.3284,37.9899,Chicho Hotel
205,Faanui,PF,77.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Tautira,PF,76.15,scattered clouds,-17.7333,-149.15,Pension Oaoa
209,Hualmay,PE,66.65,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
210,Verkhnyaya Inta,RU,65.44,clear sky,65.9811,60.3094,
212,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
218,Tete,MZ,76.08,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
223,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
227,Macamic,CA,73.26,clear sky,48.7502,-78.9996,"Maison Tardif Enr. - Chambre à Macamic, QC"
229,Sao Filipe,CV,78.1,overcast clouds,14.8961,-24.4956,Hotel Xaguate
232,Labuhan,ID,75.51,broken clouds,-6.8844,112.2051,DoubleFAG
241,Majdanpek,RS,65.14,clear sky,44.4277,21.946,HOTEL GOLDEN INN
249,Rantauprapat,ID,73.81,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
252,Poum,NC,75.58,clear sky,-20.2333,164.0167,
262,Kahului,US,78.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
264,Bardiyah,LY,77.2,clear sky,31.7561,25.0865,بورتو بردية
266,Holme,DK,74.77,clear sky,56.1138,10.1725,Hotel Ritz Aarhus City
271,Suicheng,CN,77.04,overcast clouds,33.8963,117.9331,Junyue Hotel
272,Coaraci,BR,73.58,scattered clouds,-14.6408,-39.5511,Pousada Alternativa Coaraci
274,Asau,RO,72.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
276,Lusambo,CD,74.77,few clouds,-4.9667,23.45,
278,Amahai,ID,75.54,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
