City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tripoli,LY,2022-07-17 19:46:08,32.8752,13.1875,79.41,71,0,13.87
1,Kanadukathan,IN,2022-07-17 19:48:05,10.1754,78.7785,81.48,73,100,4.41
2,Hilo,US,2022-07-17 19:45:33,19.7297,-155.09,90.28,78,75,4.61
3,Norden,DE,2022-07-17 19:43:57,53.6,7.2,66.96,70,86,3.29
4,Avarua,CK,2022-07-17 19:44:36,-21.2078,-159.775,73.45,73,20,3.44
5,Oranjemund,NA,2022-07-17 19:48:07,-28.55,16.4333,59.79,70,1,6.4
6,Victoria,HK,2022-07-17 19:43:54,22.2855,114.1577,86.38,82,100,13.0
7,Hualmay,PE,2022-07-17 19:46:01,-11.0964,-77.6139,65.82,72,14,11.61
8,Norman Wells,CA,2022-07-17 19:47:08,65.282,-126.8329,69.84,60,75,5.75
9,Airai,TL,2022-07-17 19:47:13,-8.9266,125.4092,52.75,85,44,3.33
10,Kiama,AU,2022-07-17 19:46:41,-34.6833,150.8667,54.0,75,5,1.99
11,Cherskiy,RU,2022-07-17 19:48:08,68.75,161.3,37.98,57,97,14.9
12,Rikitea,PF,2022-07-17 19:48:09,-23.1203,-134.9692,73.47,82,79,15.7
13,Punta Arenas,CL,2022-07-17 19:48:09,-53.15,-70.9167,37.51,81,0,26.46
14,Cape Town,ZA,2022-07-17 19:48:09,-33.9258,18.4232,59.41,88,40,11.5
15,Soyo,AO,2022-07-17 19:48:10,-6.1349,12.3689,70.99,87,34,7.7
16,Tuktoyaktuk,CA,2022-07-17 19:48:10,69.4541,-133.0374,59.0,88,75,8.05
17,Ardakan,IR,2022-07-17 19:48:11,32.31,54.0175,86.83,9,0,4.85
18,Ayorou,NE,2022-07-17 19:48:11,14.7308,0.9174,90.1,45,99,9.89
19,Biak,ID,2022-07-17 19:44:08,-0.9131,122.8766,72.97,93,100,8.37
20,Mataura,NZ,2022-07-17 19:48:12,-46.1927,168.8643,51.48,75,97,8.41
21,Kodiak,US,2022-07-17 19:43:30,57.79,-152.4072,63.91,52,40,8.05
22,Albany,US,2022-07-17 19:48:13,42.6001,-73.9662,92.03,42,98,5.64
23,Geraldton,AU,2022-07-17 19:43:34,-28.7667,114.6,54.01,94,40,8.05
24,Santa Ines,BR,2022-07-17 19:48:13,-3.6667,-45.38,85.41,62,26,3.74
25,Ushuaia,AR,2022-07-17 19:48:14,-54.8,-68.3,38.86,56,40,4.61
26,Upernavik,GL,2022-07-17 19:48:14,72.7868,-56.1549,41.27,85,39,15.17
27,Kaeo,NZ,2022-07-17 19:48:08,-35.1,173.7833,49.32,95,100,6.15
28,Mar Del Plata,AR,2022-07-17 19:47:49,-38.0023,-57.5575,59.02,41,0,21.85
29,Thompson,CA,2022-07-17 19:47:49,55.7435,-97.8558,80.76,47,40,9.22
30,Bethel,US,2022-07-17 19:48:15,41.3712,-73.414,84.78,61,0,6.91
31,Carnarvon,AU,2022-07-17 19:45:56,-24.8667,113.6333,59.07,94,41,4.61
32,Athabasca,CA,2022-07-17 19:45:25,54.7169,-113.2854,73.81,48,70,5.44
33,Tornio,FI,2022-07-17 19:48:16,65.8481,24.1466,59.02,85,45,8.37
34,Aswan,EG,2022-07-17 19:48:16,24.0934,32.907,94.3,12,0,8.05
35,Saint Anthony,US,2022-07-17 19:48:17,45.0205,-93.218,92.1,49,40,5.75
36,Luderitz,NA,2022-07-17 19:48:17,-26.6481,15.1594,64.22,52,1,5.7
37,Atambua,ID,2022-07-17 19:45:29,-9.1061,124.8925,66.22,82,45,5.55
38,Iskele,TR,2022-07-17 19:48:18,39.484,26.9278,78.89,47,0,11.5
39,Narsaq,GL,2022-07-17 19:44:46,60.9167,-46.05,61.02,70,98,8.48
40,Pevek,RU,2022-07-17 19:47:04,69.7008,170.3133,31.23,94,100,30.98
41,Ostrovnoy,RU,2022-07-17 19:48:19,68.0531,39.5131,57.04,76,48,9.8
42,Yellowknife,CA,2022-07-17 19:43:50,62.456,-114.3525,64.92,77,100,21.85
43,Ribeira Grande,PT,2022-07-17 19:48:19,38.5167,-28.7,75.6,78,20,18.41
44,Port Elizabeth,ZA,2022-07-17 19:46:00,-33.918,25.5701,70.11,63,0,3.44
45,Southbridge,US,2022-07-17 19:48:20,42.0751,-72.0334,87.46,63,99,4.0
46,Constitucion,CL,2022-07-17 19:48:21,-35.3333,-72.4167,50.41,94,100,9.6
47,Poddorye,RU,2022-07-17 19:49:21,57.4695,31.1156,53.73,95,99,4.54
48,La Rioja,ES,2022-07-17 19:49:22,42.25,-2.5,82.18,29,10,3.83
49,Komsomolskiy,UZ,2022-07-17 19:49:22,40.4272,71.7189,81.32,36,0,6.91
50,Cefalu,IT,2022-07-17 19:49:22,38.0386,14.0229,82.54,80,0,1.99
51,Hermanus,ZA,2022-07-17 19:49:23,-34.4187,19.2345,54.81,83,0,9.1
52,New Norfolk,AU,2022-07-17 19:49:23,-42.7826,147.0587,38.7,81,89,1.01
53,Torbay,CA,2022-07-17 19:47:27,47.6666,-52.7314,78.89,71,100,13.8
54,Cabo San Lucas,MX,2022-07-17 19:47:29,22.8909,-109.9124,94.6,57,10,6.4
55,Laguna,US,2022-07-17 19:49:24,38.421,-121.4238,104.31,32,0,8.05
56,Ariquemes,BR,2022-07-17 19:49:24,-9.9133,-63.0408,97.68,26,41,4.85
57,Asfi,MA,2022-07-17 19:49:24,32.2994,-9.2372,70.56,87,1,15.64
58,Tarandacuao,MX,2022-07-17 19:49:25,20.0,-100.5333,79.93,39,100,3.44
59,Bredasdorp,ZA,2022-07-17 19:49:25,-34.5322,20.0403,54.3,87,0,4.76
60,Kavieng,PG,2022-07-17 19:49:25,-2.5744,150.7967,81.91,80,45,13.11
61,Arraial Do Cabo,BR,2022-07-17 19:45:58,-22.9661,-42.0278,82.36,69,0,10.36
62,Khatanga,RU,2022-07-17 19:49:26,71.9667,102.5,57.78,60,100,4.5
63,Merauke,ID,2022-07-17 19:49:26,-8.4667,140.3333,75.09,90,100,9.44
64,Aykhal,RU,2022-07-17 19:49:27,66.0,111.5,48.72,97,100,4.23
65,Sorland,NO,2022-07-17 19:48:08,67.667,12.6934,51.66,86,95,15.64
66,Qaanaaq,GL,2022-07-17 19:49:27,77.484,-69.3632,47.08,58,100,3.96
67,Iquique,CL,2022-07-17 19:49:28,-20.2208,-70.1431,60.84,70,89,10.04
68,Bambous Virieux,MU,2022-07-17 19:49:28,-20.3428,57.7575,70.21,56,20,19.57
69,Saint-Philippe,RE,2022-07-17 19:49:29,-21.3585,55.7679,69.39,74,83,15.68
70,Quatre Cocos,MU,2022-07-17 19:49:29,-20.2078,57.7625,70.09,67,70,21.21
71,Carauari,BR,2022-07-17 19:46:30,-4.8828,-66.8958,87.24,59,81,2.75
72,Kapaa,US,2022-07-17 19:49:30,22.0752,-159.319,82.38,78,100,13.8
73,Saint-Pierre,RE,2022-07-17 19:49:30,-21.3393,55.4781,69.91,70,0,24.16
74,Port Alfred,ZA,2022-07-17 19:44:44,-33.5906,26.891,70.52,35,0,12.24
75,Port Blair,IN,2022-07-17 19:49:30,11.6667,92.75,78.84,89,75,2.3
76,Byron Bay,AU,2022-07-17 19:49:31,-28.65,153.6167,58.03,75,15,9.84
77,Waipawa,NZ,2022-07-17 19:49:31,-41.4122,175.5153,51.3,73,100,20.36
78,Bengkulu,ID,2022-07-17 19:49:32,-3.8004,102.2655,75.38,88,47,4.34
79,Zarate,AR,2022-07-17 19:49:32,-34.0981,-59.0286,57.04,44,3,8.01
80,Chokurdakh,RU,2022-07-17 19:49:32,70.6333,147.9167,42.67,65,10,11.9
81,Macau,MO,2022-07-17 19:49:33,22.2006,113.5461,86.86,89,40,11.5
82,Pangnirtung,CA,2022-07-17 19:49:33,66.1451,-65.7125,46.4,76,40,13.8
83,Atuona,PF,2022-07-17 19:49:34,-9.8,-139.0333,77.99,77,13,22.01
84,Yarada,IN,2022-07-17 19:49:34,17.65,83.2667,80.92,94,75,9.22
85,Makakilo City,US,2022-07-17 19:49:34,21.3469,-158.0858,82.72,62,0,14.97
86,Busselton,AU,2022-07-17 19:49:35,-33.65,115.3333,53.71,92,100,14.7
87,Gejiu,CN,2022-07-17 19:49:35,23.306,103.1635,60.8,91,100,1.68
